******************************************************************
*** Railroad lines. Format:
*** Line_ID Station_no Distance_From_Prev Prev_Station Next_Station Order_no
******************************************************************
1;1;0;NULL;2;1
1;2;94;1;3;2
1;3;22;2;4;3
1;4;70;3;5;4
1;5;71;4;6;5
1;6;81;5;7;6
1;7;35;6;8;7
1;8;96;7;9;8
1;9;32;8;10;9
1;10;21;9;11;10
1;11;33;10;12;11
1;12;75;11;13;12
1;13;10;12;14;13
1;14;28;13;15;14
1;15;21;14;NULL;15
2;16;0;NULL;17;1
2;17;76;16;18;2
2;18;43;17;4;3
2;4;47;18;19;4
2;19;16;4;20;5
2;20;80;19;21;6
2;21;19;20;22;7
2;22;24;21;23;8
2;23;84;22;24;9
2;24;100;23;NULL;10
3;25;0;NULL;26;1
3;26;85;25;27;2
3;27;90;26;8;3
3;8;53;27;28;4
3;28;89;8;29;5
3;29;39;28;21;6
3;21;66;29;30;7
3;30;87;21;31;8
3;31;11;30;32;9
3;32;36;31;33;10
3;33;49;32;34;11
3;34;72;33;NULL;12
4;35;0;NULL;36;1
4;36;29;35;37;2
4;37;42;36;38;3
4;38;57;37;11;4
4;11;11;38;39;5
4;39;18;11;40;6
4;40;13;39;21;7
4;21;11;40;41;8
4;41;65;21;42;9
4;42;30;41;43;10
5;43;0;42;44;11
5;44;28;43;45;12
5;45;85;44;46;13
5;46;44;45;47;14
5;47;21;46;48;15
5;48;68;47;49;16
5;49;97;48;50;17
5;50;41;49;NULL;18
