22;1;1
22;2;2
22;3;3
22;4;4
22;5;5
22;6;6
22;7;7
22;8;8
22;9;9
22;10;10
22;11;11
22;38;12
22;37;13
22;36;14
22;39;15
22;40;16
22;21;17
22;20;18
36;1;1
36;2;2
36;3;3
36;4;4
36;5;5
36;6;6
36;7;7
36;8;8
36;9;9
36;10;10
36;11;11
36;39;12
36;40;13
36;21;14
36;41;15
36;27;16
42;1;1
42;2;2
42;3;3
42;4;4
42;5;5
42;6;6
42;7;7
42;8;8
42;27;9
42;26;10
42;28;11
42;29;12
42;21;13
42;20;14
50;1;1
50;2;2
50;3;3
50;4;4
50;5;5
50;6;6
50;7;7
50;8;8
50;28;9
50;29;10
50;21;11
50;22;12
50;23;13
50;30;14
50;31;15
50;32;16
50;33;17
85;1;1
85;2;2
85;3;3
85;4;4
85;19;5
85;20;6
85;21;7
85;29;8
85;28;9
85;8;10
85;7;11
85;6;12
85;9;13
85;10;14
85;11;15
85;12;16
91;1;1
91;2;2
91;3;3
91;4;4
91;19;5
91;20;6
91;21;7
91;29;8
91;28;9
91;8;10
91;9;11
91;10;12
91;11;13
91;12;14
91;13;15
91;14;16
91;38;17
91;37;18
91;36;19
92;1;1
92;2;2
92;3;3
92;4;4
92;19;5
92;20;6
92;21;7
92;29;8
92;28;9
92;8;10
92;9;11
92;10;12
92;11;13
92;12;14
92;13;15
92;14;16
92;38;17
92;37;18
92;36;19
92;35;20
105;1;1
105;2;2
105;3;3
105;4;4
105;19;5
105;20;6
105;21;7
105;30;8
105;31;9
105;32;10
105;33;11
105;40;12
105;39;13
105;11;14
114;1;1
114;2;2
114;3;3
114;4;4
114;19;5
114;20;6
114;21;7
114;40;8
114;39;9
114;11;10
114;10;11
114;9;12
114;8;13
114;7;14
114;6;15
114;27;16
114;26;17
114;25;18
124;1;1
124;2;2
124;3;3
124;4;4
124;19;5
124;20;6
124;21;7
124;40;8
124;39;9
124;11;10
124;12;11
124;13;12
124;14;13
124;38;14
124;37;15
124;36;16
124;35;17
132;2;1
132;3;2
132;4;3
132;5;4
132;6;5
132;7;6
134;2;1
134;3;2
134;4;3
134;5;4
134;6;5
134;7;6
134;8;7
134;9;8
135;2;1
135;3;2
135;4;3
135;5;4
135;6;5
135;7;6
135;8;7
135;9;8
135;10;9
139;2;1
139;3;2
139;4;3
139;5;4
139;6;5
139;7;6
139;8;7
139;9;8
139;10;9
139;11;10
139;12;11
139;13;12
139;14;13
155;2;1
155;3;2
155;4;3
155;5;4
155;6;5
155;7;6
155;8;7
155;9;8
155;10;9
155;11;10
155;39;11
155;40;12
155;21;13
155;29;14
155;30;15
157;2;1
157;3;2
157;4;3
157;5;4
157;6;5
157;7;6
157;8;7
157;9;8
157;10;9
157;11;10
157;39;11
157;40;12
157;21;13
157;29;14
157;30;15
157;31;16
157;32;17
158;2;1
158;3;2
158;4;3
158;5;4
158;6;5
158;7;6
158;8;7
158;9;8
158;10;9
158;11;10
158;39;11
158;40;12
158;21;13
158;29;14
158;30;15
158;31;16
158;32;17
158;33;18
167;2;1
167;3;2
167;4;3
167;5;4
167;6;5
167;7;6
167;8;7
167;27;8
167;26;9
167;28;10
167;29;11
167;21;12
171;2;1
171;3;2
171;4;3
171;5;4
171;6;5
171;7;6
171;8;7
171;28;8
171;29;9
171;21;10
171;20;11
171;22;12
171;23;13
178;2;1
178;3;2
178;4;3
178;5;4
178;6;5
178;7;6
178;8;7
178;28;8
178;29;9
178;21;10
178;30;11
178;31;12
178;32;13
178;33;14
178;40;15
206;2;1
206;3;2
